,title,price,star_rating,img_path
10,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,"./images/2_star/Starving Hearts (Triangular Trade Trilogy, #1).png"
18,Libertarianism for Beginners,51.33,2,./images/2_star/Libertarianism for Beginners.png
19,It's Only the Himalayas,45.17,2,./images/2_star/It's Only the Himalayas.png
21,How Music Works,37.32,2,./images/2_star/How Music Works.png
36,Maude (1883-1993)She Grew Up with the country,18.02,2,./images/2_star/Maude (1883-1993)She Grew Up with the country.png
39,You can't bury them all Poems,33.63,2,./images/2_star/You can't bury them all Poems.png
41,Reasons to Stay Alive,26.41,2,./images/2_star/Reasons to Stay Alive.png
44,Without Borders (Wanderlove #1),45.07,2,./images/2_star/Without Borders (Wanderlove #1).png
74,Soul Reader,39.58,2,./images/2_star/Soul Reader.png
75,Security,39.25,2,./images/2_star/Security.png
77,"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,2,"./images/2_star/Saga, Volume 5 (Saga (Collected Editions) #5).png"
78,Reskilling America Learning to Labor in the Twent,19.83,2,./images/2_star/Reskilling America Learning to Labor in the Twent.png
