,title,price,star_rating,img_path
0,A Light in the Attic,51.77,3,./images/3_star/A Light in the Attic.png
7,The Coming Woman A Novel Based on the Life of the,17.93,3,./images/3_star/The Coming Woman A Novel Based on the Life of the.png
15,Our Band Could Be Your Life Scenes from the Ameri,57.25,3,./images/3_star/Our Band Could Be Your Life Scenes from the Ameri.png
22,"Foolproof Preserving A Guide to Small Batch Jams,",30.52,3,"./images/3_star/Foolproof Preserving A Guide to Small Batch Jams,.png"
25,Birdsong A Story in Pictures,54.64,3,./images/3_star/Birdsong A Story in Pictures.png
26,America's Cradle of Quarterbacks Western Pennsylv,22.5,3,./images/3_star/America's Cradle of Quarterbacks Western Pennsylv.png
27,Aladdin and His Wonderful Lamp,53.13,3,./images/3_star/Aladdin and His Wonderful Lamp.png
31,The Five Love Languages How to Express Heartfelt ,31.05,3,./images/3_star/The Five Love Languages How to Express Heartfelt .png
35,Penny Maybe,33.29,3,./images/3_star/Penny Maybe.png
40,Slow States of Collapse Poems,57.31,3,./images/3_star/Slow States of Collapse Poems.png
49,Unicorn Tracks,18.78,3,./images/3_star/Unicorn Tracks.png
52,Throwing Rocks at the Google Bus How Growth Becam,31.12,3,./images/3_star/Throwing Rocks at the Google Bus How Growth Becam.png
59,The Natural History of Us (The Fine Art of Pretend,45.22,3,./images/3_star/The Natural History of Us (The Fine Art of Pretend.png
61,The Murder That Never Was (Forensic Instincts #5),54.11,3,./images/3_star/The Murder That Never Was (Forensic Instincts #5).png
64,The Life-Changing Magic of Tidying Up The Japanes,16.77,3,./images/3_star/The Life-Changing Magic of Tidying Up The Japanes.png
69,"The Bulletproof Diet Lose up to a Pound a Day, Re",49.05,3,"./images/3_star/The Bulletproof Diet Lose up to a Pound a Day, Re.png"
70,The Art Forger,40.76,3,./images/3_star/The Art Forger.png
76,"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,3,"./images/3_star/Saga, Volume 6 (Saga (Collected Editions) #6).png"
79,"Rat Queens, Vol 3 Demons (Rat Queens (Collected ",50.4,3,"./images/3_star/Rat Queens, Vol 3 Demons (Rat Queens (Collected .png"
