,title,price,star_rating,img_path
4,Sapiens A Brief History of Humankind,54.23,5,./images/5_star/Sapiens A Brief History of Humankind.png
12,Set Me Free,17.46,5,./images/5_star/Set Me Free.png
13,Scott Pilgrim's Precious Little Life (Scott Pilgri,52.29,5,./images/5_star/Scott Pilgrim's Precious Little Life (Scott Pilgri.png
14,Rip it Up and Start Again,35.02,5,./images/5_star/Rip it Up and Start Again.png
23,Chase Me (Paris Nights #2),25.27,5,./images/5_star/Chase Me (Paris Nights #2).png
24,Black Dust,34.53,5,./images/5_star/Black Dust.png
28,Worlds Elsewhere Journeys Around Shakespeareâs ,40.3,5,./images/5_star/Worlds Elsewhere Journeys Around Shakespeareâs .png
30,The Four Agreements A Practical Guide to Personal,17.66,5,./images/5_star/The Four Agreements A Practical Guide to Personal.png
32,The Elephant Tree,23.82,5,./images/5_star/The Elephant Tree.png
34,Sophie's World,15.94,5,./images/5_star/Sophie's World.png
42,Private Paris (Private #10),47.61,5,./images/5_star/Private Paris (Private #10).png
43,#HigherSelfie Wake Up Your Life Free Your Soul ,23.11,5,./images/5_star/#HigherSelfie Wake Up Your Life Free Your Soul .png
46,"We Love You, Charlie Freeman",50.27,5,"./images/5_star/We Love You, Charlie Freeman.png"
54,Thirst,17.27,5,./images/5_star/Thirst.png
65,The Inefficiency Assassin Time Management Tactics,20.59,5,./images/5_star/The Inefficiency Assassin Time Management Tactics.png
72,The Activist's Tao Te Ching Ancient Advice for a ,32.24,5,./images/5_star/The Activist's Tao Te Ching Ancient Advice for a .png
