,title,price,star_rating,img_path
58,The Past Never Ends,Â£56.50,Four,./images/The Past Never Ends.png
59,The Natural History of Us (The Fine Art of Pretend,Â£45.22,Three,./images/The Natural History of Us (The Fine Art of Pretend.png
60,The Nameless City (The Nameless City #1),Â£38.16,Four,./images/The Nameless City (The Nameless City #1).png
61,The Murder That Never Was (Forensic Instincts #5),Â£54.11,Three,./images/The Murder That Never Was (Forensic Instincts #5).png
62,The Most Perfect Thing Inside (and Outside) a Bir,Â£42.96,Four,./images/The Most Perfect Thing Inside (and Outside) a Bir.png
63,The Mindfulness and Acceptance Workbook for Anxiet,Â£23.89,Four,./images/The Mindfulness and Acceptance Workbook for Anxiet.png
64,The Life-Changing Magic of Tidying Up The Japanes,Â£16.77,Three,./images/The Life-Changing Magic of Tidying Up The Japanes.png
65,The Inefficiency Assassin Time Management Tactics,Â£20.59,Five,./images/The Inefficiency Assassin Time Management Tactics.png
66,The Gutsy Girl Escapades for Your Life of Epic Ad,Â£37.13,One,./images/The Gutsy Girl Escapades for Your Life of Epic Ad.png
67,The Electric Pencil Drawings from Inside State Ho,Â£56.06,One,./images/The Electric Pencil Drawings from Inside State Ho.png
68,The Death of Humanity and the Case for Life,Â£58.11,Four,./images/The Death of Humanity and the Case for Life.png
69,"The Bulletproof Diet Lose up to a Pound a Day, Re",Â£49.05,Three,"./images/The Bulletproof Diet Lose up to a Pound a Day, Re.png"
70,The Art Forger,Â£40.76,Three,./images/The Art Forger.png
71,The Age of Genius The Seventeenth Century and the,Â£19.73,One,./images/The Age of Genius The Seventeenth Century and the.png
72,The Activist's Tao Te Ching Ancient Advice for a ,Â£32.24,Five,./images/The Activist's Tao Te Ching Ancient Advice for a .png
73,Spark Joy An Illustrated Master Class on the Art ,Â£41.83,Four,./images/Spark Joy An Illustrated Master Class on the Art .png
74,Soul Reader,Â£39.58,Two,./images/Soul Reader.png
75,Security,Â£39.25,Two,./images/Security.png
76,"Saga, Volume 6 (Saga (Collected Editions) #6)",Â£25.02,Three,"./images/Saga, Volume 6 (Saga (Collected Editions) #6).png"
77,"Saga, Volume 5 (Saga (Collected Editions) #5)",Â£51.04,Two,"./images/Saga, Volume 5 (Saga (Collected Editions) #5).png"
78,Reskilling America Learning to Labor in the Twent,Â£19.83,Two,./images/Reskilling America Learning to Labor in the Twent.png
79,"Rat Queens, Vol 3 Demons (Rat Queens (Collected ",Â£50.40,Three,"./images/Rat Queens, Vol 3 Demons (Rat Queens (Collected .png"
