,title,price,star_rating,img_path
1,Tipping the Velvet,53.74,1,./images/1_star/Tipping the Velvet.png
2,Soumission,50.1,1,./images/1_star/Soumission.png
5,The Requiem Red,22.65,1,./images/1_star/The Requiem Red.png
9,The Black Maria,52.15,1,./images/1_star/The Black Maria.png
16,Olio,23.88,1,./images/1_star/Olio.png
17,Mesaerion The Best Science Fiction Stories 1800-1,37.59,1,./images/1_star/Mesaerion The Best Science Fiction Stories 1800-1.png
20,In Her Wake,12.84,1,./images/1_star/In Her Wake.png
33,The Bear and the Piano,36.89,1,./images/1_star/The Bear and the Piano.png
37,"In a Dark, Dark Wood",19.63,1,"./images/1_star/In a Dark, Dark Wood.png"
45,When We Collided,31.77,1,./images/1_star/When We Collided.png
50,"Unbound How Eight Technologies Made Us Human, Tra",25.52,1,"./images/1_star/Unbound How Eight Technologies Made Us Human, Tra.png"
51,Tsubasa WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCL,16.28,1,./images/1_star/Tsubasa WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCL.png
55,The Torch Is Passed A Harding Family Story,19.09,1,./images/1_star/The Torch Is Passed A Harding Family Story.png
56,The Secret of Dreadwillow Carse,56.13,1,./images/1_star/The Secret of Dreadwillow Carse.png
57,The Pioneer Woman Cooks Dinnertime Comfort Class,56.41,1,./images/1_star/The Pioneer Woman Cooks Dinnertime Comfort Class.png
66,The Gutsy Girl Escapades for Your Life of Epic Ad,37.13,1,./images/1_star/The Gutsy Girl Escapades for Your Life of Epic Ad.png
67,The Electric Pencil Drawings from Inside State Ho,56.06,1,./images/1_star/The Electric Pencil Drawings from Inside State Ho.png
71,The Age of Genius The Seventeenth Century and the,19.73,1,./images/1_star/The Age of Genius The Seventeenth Century and the.png
